date_of_sale,address,location,total_area,rooms,plot_area,closing_price
Såld 7 juli 2023,Bergsvägen 11,"Rörtången/ Ödsmålsmosse,          Kungälvs kommun",69+4 m²,4,934,2000000
Såld 6 juli 2023,Lundby 509,"Kareby,          Kungälvs kommun",166+6 m²,6,933,4900000
Såld 6 juli 2023,Kastellegårdsgatan 29,"Komarken,          Kungälvs kommun",122+16 m²,4,33,5200000
Såld 4 juli 2023,Sparråsvägen 140,"Kungälv - Ytterby,          Kungälvs kommun",137+19 m²,4,961,3850000
Såld 4 juli 2023,Dammen 160,"Kärna,          Kungälvs kommun",174+25 m²,5,234,3450000
Såld 4 juli 2023,Önneröd 220,"Kärna,          Kungälvs kommun",112+4 m²,4,32,4200000
Såld 3 juli 2023,Tulpanvägen 15,"Kärna,          Kungälvs kommun",105+140 m²,4,914,3900000
Såld 2 juli 2023,Rubinvägen 19,"Kode,          Kungälvs kommun",195+7 m²,7,937,5050000
Såld 30 juni 2023,Gårdskiftegatan 5,"Ytterby,          Kungälvs kommun",164+36 m²,5,806,5250000
Såld 30 juni 2023,Norrmannebo 270,"Romelanda, Kungälvs kommun,          Kungälvs kommun",114+110 m²,7,400,4300000
Såld 29 juni 2023,Dösebacka 120,"Romelanda,          Kungälvs kommun",64+53 m²,3,824,2960000
Såld 28 juni 2023,Kärnavägen 16,"Kärna,          Kungälvs kommun",171+83 m²,7,695,4300000
Såld 22 juni 2023,Torp 250,"Kareby,          Kungälvs kommun",159+48 m²,4,608,3950000
Såld 21 juni 2023,Korpvägen 279,"Ullstorp,          Kungälvs kommun",133+24 m²,4,522,5850000
Såld 21 juni 2023,Västra gatan 48,"Kungälv - Centralt,          Kungälvs kommun",136+5 m²,5,937,6500000
Såld 18 juni 2023,Gunneröd 506,"Kärna,          Kungälvs kommun",138+6 m²,6,215,4930000
Såld 18 juni 2023,Oxelvägen 96,"Diseröd,          Kungälvs kommun",139+5 m²,5,390,4200000
Såld 16 juni 2023,Solberg 420,"Romelanda,          Kungälvs kommun",90+65 m²,3,968,2350000
Såld 15 juni 2023,Kovikshamn 160,"Kovikshamn,          Kungälvs kommun",124+8 m²,4,400,4300000
Såld 14 juni 2023,Blankas gata 3,"Kungälv - Centralt,          Kungälvs kommun",130+152 m²,7,980,6350000
Såld 14 juni 2023,Ljungvägen 20,"Kode,          Kungälvs kommun",34+2 m²,2,304,2370000
Såld 14 juni 2023,Rubinvägen 27,"Kode,          Kungälvs kommun",195+6 m²,6,991,3500000
Såld 8 juni 2023,Ulvesund 419,"Kungälv - Ulvesund,          Kungälvs kommun",65+2 m²,2,688,3000000
Såld 8 juni 2023,Erslycke 140,"Lycke,          Kungälvs kommun",162+24 m²,5,820,5700000
Såld 3 juni 2023,Önneröd 145,"Kärna,          Kungälvs kommun",110+4 m²,4,30,4675000
Såld 2 juni 2023,Ställets bygata 156,"Ytterby,          Kungälvs kommun",146+7 m²,7,742,6495000
Såld 1 juni 2023,Hallebäcksvägen 24,"Timmervik,          Kungälvs kommun",105+4 m²,4,337,5250000
Såld 1 juni 2023,Bergkristallvägen 8,"Kode,          Kungälvs kommun",127+8 m²,4,518,4795000
Såld 1 juni 2023,Hammarhöjden 670,"Bohuslän,          Kungälvs kommun",100+47 m²,,90,3200000
Såld 1 juni 2023,Sålådevägen 554,"Ullstorp,          Kungälvs kommun",173+6 m²,6,800,8600000
Såld 31 maj 2023,Hjälmgatan 7,"Ytterby,          Kungälvs kommun",96+3 m²,3,463,4000000
Såld 31 maj 2023,Strömgatan 9,"Ytterby,          Kungälvs kommun",127+5 m²,5,890,6295000
Såld 25 maj 2023,Krappvägen 570,"Ullstorp,          Kungälvs kommun",230+25 m²,8,788,9500000
Såld 19 maj 2023,Norrmannebo 650,"Bohuslän,          Kungälvs kommun",143+50 m²,6,500,5800000
Såld 18 maj 2023,Ängsgatan  23,"Centralt,          Kungälvs kommun",91+87 m²,5,743,4625000
Såld 18 maj 2023,Stenåldersgatan 14,"Stället,          Kungälvs kommun",107+5 m²,5,452,5050000
Såld 17 maj 2023,Spaghamnsvägen 7,"Tjuvkil,          Kungälvs kommun",110+5 m²,5,664,5000000
Såld 17 maj 2023,Östergårdsgatan 3,"Ytterby,          Kungälvs kommun",215+62 m²,7,20,4860000
Såld 16 maj 2023,Romelanda nedergård 160,"Romelanda,          Kungälvs kommun",139+5 m²,5,196,2625000
Såld 15 maj 2023,Toreby 240,"Kärna,          Kungälvs kommun",89+89 m²,5,245,3405000
Såld 12 maj 2023,Murhammarvägen 12,"Kungälv - Kareby,          Kungälvs kommun",174+17 m²,6,700,5200000
Såld 8 maj 2023,Kämpegatan 4,"Kungälv Centrum,          Kungälvs kommun",128+43 m²,5,160,5000000
Såld 7 maj 2023,Vesslegatan 14,"Olseröd,          Kungälvs kommun",159+17 m²,5,349,5550000
Såld 4 maj 2023,Bastubäcksvägen 26,"Kode,          Kungälvs kommun",44+36 m²,4,199,1775000
Såld 2 maj 2023,Karantänsgatan 9,"Kungälv Centrum,          Kungälvs kommun",130+6 m²,6,659,4500000
Såld 30 april 2023,Vävra 297,"Hålta,          Kungälvs kommun",161+55 m²,5,587,5300000
Såld 29 april 2023,Lerskärsvägen 8,"Tjuvkil,          Kungälvs kommun",84+50 m²,4,458,4500000
Såld 26 april 2023,Brunnefjällsvägen 21,"Kärna,          Kungälvs kommun",82+13 m²,3,741,3500000
Såld 26 april 2023,Klockarvägen 7,"Kungälv - Romelanda,          Kungälvs kommun",162+6 m²,6,706,4050000
Såld 25 april 2023,Sålådevägen 546,"Kungälv - Ullstorp,          Kungälvs kommun",145+19 m²,5,804,6700000
Såld 21 april 2023,Östra Trädal 320,"Ytterby,          Kungälvs kommun",130+50 m²,6,185,7495000
Såld 20 april 2023,Lundby 565,"Kareby,          Kungälvs kommun",101+3 m²,3,935,4390000
Såld 18 april 2023,Kuskalundsvägen 39,"Kungälv - Hålta,          Kungälvs kommun",70+13 m²,3,745,2600000
Såld 18 april 2023,Häradsvägen 6,"Ytterby,          Kungälvs kommun",137+7 m²,7,468,4250000
Såld 18 april 2023,Kareby kyrkväg 149,"Kareby,          Kungälvs kommun",137+5 m²,5,951,4300000
Såld 15 april 2023,Kuskalundsvägen 32,"Hålta,          Kungälvs kommun",79+3 m²,3,494,3050000
Såld 15 april 2023,Munkegärdegatan 243,"Munkegärde/Ulvegärde,          Kungälvs kommun",133+6 m²,6,817,5150000
Såld 14 april 2023,Backsippegatan 5,"Ytterby,          Kungälvs kommun",115+5 m²,5,598,4200000
Såld 10 april 2023,Stora Risby 550,"Hålta,          Kungälvs kommun",100+86 m²,3,640,3850000
Såld 3 april 2023,Västra gatan 28,"Kungälv - Centralt,          Kungälvs kommun",155+32 m²,6,600,5250000
Såld 30 mars 2023,Östergårdsgatan 23,"Ytterby,          Kungälvs kommun",180+48 m²,6,840,5225000
Såld 27 mars 2023,Hermansby 165,"Kärna,          Kungälvs kommun",134+4 m²,4,5,4900000
Såld 24 mars 2023,Lefstad 155,"Kärna,          Kungälvs kommun",145+6 m²,6,545,5700000
Såld 24 mars 2023,Kullegatan 12,"Centrum,          Kungälvs kommun",190+163 m²,7,660,6600000
Såld 23 mars 2023,Bräcke 105,"Kungälv - Kärna,          Kungälvs kommun",204+6 m²,6,906,5295000
Såld 23 mars 2023,Kulperödsvägen 17,"Bohuslän,          Kungälvs kommun",133+119 m²,6,141,4800000
Såld 9 mars 2023,Sköldgatan 8,"Stället,          Kungälvs kommun",96+29 m²,3,451,4225000
Såld 9 mars 2023,Munkegärdegatan 279,"Kungälv - Munkegärde,          Kungälvs kommun",118+4 m²,4,342,4700000
Såld 8 mars 2023,Önneröd 120,"Kärna,          Kungälvs kommun",133+29 m²,5,61,3750000
Såld 3 mars 2023,Kyrkeby 293,"Harestad,          Kungälvs kommun",170+6 m²,6,189,5500000
Såld 2 mars 2023,Harkeröd 305,"Hålta,          Kungälvs kommun",110+4 m²,4,818,4395000
Såld 2 mars 2023,Lagvägen 23,"Ytterby,          Kungälvs kommun",107+7 m²,4,757,2700000
Såld 27 februari 2023,Tegskiftegatan 84,"Ytterby,          Kungälvs kommun",101+146 m²,5,186,5310000
Såld 21 februari 2023,Signehög 320,"Romelanda,          Kungälvs kommun",105+57 m²,5,550,4350000
Såld 8 februari 2023,Guddehjälm 215,"Ytterby,          Kungälvs kommun",182+5 m²,8,639,5330000
Såld 7 februari 2023,Kärnavägen 4,"Kärna,          Kungälvs kommun",110+90 m²,7,860,4250000
Såld 4 februari 2023,Källeröd 166,"Kareby,          Kungälvs kommun",127+6 m²,6,988,4350000
Såld 2 februari 2023,Korpedalsvägen 3,"Aröd,          Kungälvs kommun",140+64 m²,5,993,4000000
Såld 30 januari 2023,Hällristningsgatan 10,"Kungälv - Ytterby,          Kungälvs kommun",103+4 m²,4,282,4000000
Såld 27 januari 2023,Kantorvägen 4,"Diseröd,          Kungälvs kommun",134+5 m²,5,558,3700000
Såld 26 januari 2023,Gunneröd 320,"Lycke,          Kungälvs kommun",145+5 m²,5,144,3900000
Såld 19 januari 2023,Prästvägen 340,"Kungälv - Kareby,          Kungälvs kommun",158+92 m²,7,235,6100000
Såld 18 januari 2023,Granndalen 13,"Kärna,          Kungälvs kommun",110+27 m²,4,93,3850000
Såld 17 januari 2023,Stenåldersgatan 57,"Ytterby,          Kungälvs kommun",107+5 m²,5,354,4380000
Såld 12 januari 2023,Duvesjön 216,"Romelanda,          Kungälvs kommun",153+6 m²,6,91,4750000
Såld 4 januari 2023,Rostock 290,"Romelanda,          Kungälvs kommun",148+65 m²,,678,3400000
Såld 27 december 2022,Långdammsvägen 2,"Marstrandsön,          Kungälvs kommun",28 m²,,617,7125000
Såld 21 december 2022,Munkegärdegatan 312,"Munkegärde,          Kungälvs kommun",170+6 m²,6,612,5605000
Såld 15 december 2022,Bremnäs 130,"Lycke,          Kungälvs kommun",167+40 m²,8,938,4490000
Såld 13 december 2022,Bremnäs 155,"Lycke Bremnäs,          Kungälvs kommun",137+53 m²,6,298,4125000
Såld 2 december 2022,Skurhagagatan 3,"Komarken,          Kungälvs kommun",127+125 m²,6,603,4700000
Såld 2 december 2022,Över-Restad 165,"Hålta,          Kungälvs kommun",126+6 m²,6,693,5050000
Såld 2 december 2022,Sundhammarsvägen 610,"Kärna,          Kungälvs kommun",188+6 m²,6,10,5500000
Såld 2 december 2022,Klevevägen 50,"Ytterby,          Kungälvs kommun",110+4 m²,4,,3600000
Såld 1 december 2022,Klockarvägen 11,"Diseröd,          Kungälvs kommun",170+6 m²,6,574,4300000
Såld 29 november 2022,Hammarberg 830,"Kode,          Kungälvs kommun",73+15 m²,3,632,2900000
Såld 24 november 2022,Jordliden 30,"Kungälv,          Kungälvs kommun",86+3 m²,3,,2750000
Såld 24 november 2022,Grindklykan 9,"Grinden,          Kungälvs kommun",114+4 m²,4,729,4800000
Såld 18 november 2022,Hältorp 130,"Ytterby,          Kungälvs kommun",115+115 m²,7,372,4050000
Såld 17 november 2022,Häljeröd 430,"Romelanda,          Kungälvs kommun",132+6 m²,6,9,4515000
Såld 13 november 2022,Sjöhåla 130,"Sjöhåla,          Kungälvs kommun",121+75 m²,4,576,2400000
Såld 12 november 2022,Flädervägen 18,"Romelanda,          Kungälvs kommun",137+20 m²,6,353,3850000
Såld 11 november 2022,Lundby 440,"Kareby,          Kungälvs kommun",125+120 m²,5,676,4500000
Såld 10 november 2022,Fiolmannens gata 17,"Ytterby,          Kungälvs kommun",115+5 m²,5,,3995000
Såld 6 november 2022,Lefstad 350,"Kärna,          Kungälvs kommun",129+90 m²,6,216,4050000
Såld 3 november 2022,Enskiftegatan 10,"Kungälv - Ytterby,          Kungälvs kommun",179+6 m²,6,768,5500000
Såld 31 oktober 2022,Mossvägen 38,"Lökeberg,          Kungälvs kommun",86+3 m²,3,111,4400000
Såld 26 oktober 2022,Lingången 16,"Kungälv - Centrum,          Kungälvs kommun",120+4 m²,4,402,4550000
Såld 21 oktober 2022,Jägersberg 310,"Kode,          Kungälvs kommun",184+28 m²,6,210,4000000
Såld 19 oktober 2022,Mossvägen 37,"Lökeberg,          Kungälvs kommun",86+3 m²,3,844,4400000
Såld 16 oktober 2022,Prejelvägen 120,"Ullstorp,          Kungälvs kommun",122+5 m²,5,314,5495000
Såld 12 oktober 2022,Vältvägen 509,"Ullstorp,          Kungälvs kommun",105+4 m²,4,319,5050000
Såld 12 oktober 2022,Björröd 310,"Kode,          Kungälvs kommun",172+6 m²,6,514,4350000
Såld 3 oktober 2022,Kullholmsvägen 6,"Tjuvkil,          Kungälvs kommun",117+5 m²,5,429,5900000
Såld 30 september 2022,Kantorvägen 8,"Diseröd,          Kungälvs kommun",125+4 m²,4,557,3700000
Såld 29 september 2022,Norrmannebo 110,"Romelanda,          Kungälvs kommun",99+3 m²,3,720,2100000
Såld 29 september 2022,Heden 220,"Bohuslän,          Kungälvs kommun",123+77 m²,5,342,4750000
Såld 28 september 2022,Gustavsbergsvägen 16,"Ytterby,          Kungälvs kommun",105+91 m²,4,244,5100000
Såld 27 september 2022,Bergsvägen 28,"Ödsmålsmosse,          Kungälvs kommun",58+7 m²,3,631,3075000
Såld 24 september 2022,Korpvägen 263,"Ullstorp,          Kungälvs kommun",158+18 m²,6,387,6500000
Såld 22 september 2022,Hemvägen 48,"Diseröd,          Kungälvs kommun",130+65 m²,5,696,3650000
Såld 19 september 2022,Häljeröd 640,"Kode,          Kungälvs kommun",211+8 m²,8,500,7750000
Såld 17 september 2022,Stenåldersgatan 55,"Ytterby,          Kungälvs kommun",120+15 m²,5,395,5200000
Såld 12 september 2022,Annas väg 28,"Kovikshamn/Sundhammar,          Kungälvs kommun",101+3 m²,3,118,4150000
Såld 11 september 2022,Krokebäcksvägen 95,"Kareby,          Kungälvs kommun",123+5 m²,5,259,5100000
Såld 10 september 2022,Björröd 260,"Bohuslän,          Kungälvs kommun",145+4 m²,4,156,3300000
Såld 9 september 2022,Vävra 105,"Hålta,          Kungälvs kommun",111+2 m²,2,943,2550000
Såld 8 september 2022,Högsberg 355,"Kode,          Kungälvs kommun",94+4 m²,4,797,4050000
Såld 8 september 2022,Rådjursgatan 8,"Bohuslän,          Kungälvs kommun",85+3 m²,3,,3195000
Såld 6 september 2022,Barlinds väg 38,"Instön,          Kungälvs kommun",98+2 m²,4,290,8500000
Såld 4 september 2022,Skålgropsgatan 28,"Ytterby,          Kungälvs kommun",122+4 m²,4,349,5050000
Såld 1 september 2022,Tjärnstigen 10,"Lökeberg,          Kungälvs kommun",103+5 m²,5,113,3800000
Såld 1 september 2022,Grepvägen 385,"Ullstorp,          Kungälvs kommun",121+29 m²,5,388,5710000
Såld 1 september 2022,Lerskärsvägen 13B,"Tjuvkil,          Kungälvs kommun",128+4 m²,4,259,5200000
Såld 31 augusti 2022,Kyrkeby 302,"Harestad,          Kungälvs kommun",126+6 m²,6,97,4900000
Såld 31 augusti 2022,Tvetgatan 143,"Tveten,          Kungälvs kommun",93+32 m²,5,186,4200000
Såld 29 augusti 2022,Grandalen 230,"Romelanda,          Kungälvs kommun",138+6 m²,6,718,4200000
Såld 29 augusti 2022,Hammarhöjden 700,"Kode,          Kungälvs kommun",75+4 m²,4,123,1650000
Såld 27 augusti 2022,Holm 241,"Kärna,          Kungälvs kommun",5 m²,5,207,5100000
Såld 27 augusti 2022,Torsby 270,"Kärna,          Kungälvs kommun",161+174 m²,8,915,5735000
Såld 26 augusti 2022,Lerskärsvägen 52,"Tjuvkil,          Kungälvs kommun",106+49 m²,4,385,5520000
Såld 24 augusti 2022,Korsgatan 3,"Marstrand,          Kungälvs kommun",116+30 m²,4,494,9200000
Såld 21 augusti 2022,Blekeliden 6,"Västra Gatan,          Kungälvs kommun",161+47 m²,5,629,7300000
Såld 19 augusti 2022,Rörtången 273,"Rörtången/ödsmålsmosse,          Kungälvs kommun",65+2 m²,2,,4100000
Såld 12 augusti 2022,Råckeröd 180,"Kärna,          Kungälvs kommun",90+4 m²,4,183,2050000
Såld 11 augusti 2022,Krokebäcksvägen 85,"Kareby,          Kungälvs kommun",123+5 m²,5,226,5100000
Såld 4 augusti 2022,Guddeby 210,"Ytterby,          Kungälvs kommun",120+120 m²,7,512,4600000
Såld 4 augusti 2022,Hallbjörtorp 330,"Kärna,          Kungälvs kommun",99+4 m²,4,733,2600000
Såld 20 juli 2022,Glöskär 875,"Kärna,          Kungälvs kommun",110+5 m²,5,615,6775000
Såld 18 juli 2022,Stora Risby 400,"Hålta,          Kungälvs kommun",74+68 m²,6,78,4500000
Såld 15 juli 2022,Hemmansgatan 7,"Ytterby,          Kungälvs kommun",155+42 m²,6,875,5100000
Såld 15 juli 2022,Hemvägen 7,"Romelanda,          Kungälvs kommun",105+33 m²,5,437,3750000
Såld 13 juli 2022,Ulvesund 296,"Ytterby,          Kungälvs kommun",169+5 m²,5,567,8800000
Såld 10 juli 2022,Torsby 250,"Kärna,          Kungälvs kommun",170+60 m²,7,810,6525000
Såld 9 juli 2022,Åkerhög 340,"Kärna,          Kungälvs kommun",45+3 m²,3,527,2500000
Såld 5 juli 2022,Rondan 13,"Kungälv - Ödsmålsmosse,          Kungälvs kommun",102+55 m²,5,380,4650000
Såld 3 juli 2022,Blåsippegatan 12,"Kungälv - Ytterby,          Kungälvs kommun",115+5 m²,5,569,3850000
Såld 28 juni 2022,Bergsvägen 4,"Ödsmålsmosse,          Kungälvs kommun",88+15 m²,2,783,3995000
Såld 28 juni 2022,Veneröd 439,"Hålta,          Kungälvs kommun",118+3 m²,3,133,3680000
Såld 27 juni 2022,Lefstadvägen 31,"Kärna,          Kungälvs kommun",130+5 m²,5,881,5050000
Såld 27 juni 2022,Silvergnejsvägen 18,"Kungälv - Gullbringa,          Kungälvs kommun",179+5 m²,5,120,5800000
Såld 27 juni 2022,Östra gatan 9,"Gamla Kungälv,          Kungälvs kommun",325+81 m²,10,852,10500000
Såld 25 juni 2022,Apelvägen 10,"Diseröd,          Kungälvs kommun",104+4 m²,4,486,3275000
Såld 23 juni 2022,Dösebacka 110,"Romelanda,          Kungälvs kommun",144+79 m²,6,634,5780000
Såld 22 juni 2022,Lerskärsvägen 18,"Tjuvkil,          Kungälvs kommun",65+65 m²,5,216,3995000
Såld 22 juni 2022,Halltorpsvägen 11,"Kode,          Kungälvs kommun",107+13 m²,4,119,4800000
Såld 21 juni 2022,Duvesjön 351,"Romelanda,          Kungälvs kommun",50+35 m²,2,418,1750000
Såld 21 juni 2022,Kärnavägen 50,"Bohuslän,          Kungälvs kommun",128 m²,,525,3200000
Såld 21 juni 2022,Idrottsgatan 14,"Marstrand,          Kungälvs kommun",114+60 m²,,592,7800000
Såld 20 juni 2022,Äslingsvägen 10,"Tjuvkil,          Kungälvs kommun",75+43 m²,4,355,4150000
Såld 19 juni 2022,Solberg 450,"Bohuslän,          Kungälvs kommun",158+6 m²,6,435,5250000
Såld 17 juni 2022,Almvägen 9,"Romelanda,          Kungälvs kommun",129+10 m²,6,803,5260000
Såld 17 juni 2022,Flateby 525,"Bohuslän,          Kungälvs kommun",154+6 m²,6,814,6275000
Såld 16 juni 2022,Korpedalsvägen 9,"Aröd,          Kungälvs kommun",47+4 m²,4,317,3350000
Såld 15 juni 2022,Östergårdsgatan 23,"Ytterby,          Kungälvs kommun",180+48 m²,6,840,5600000
Såld 15 juni 2022,Åsleröd 130,"Bohuslän,          Kungälvs kommun",120+35 m²,4,566,4700000
Såld 13 juni 2022,Rävo 131,"Bohuslän,          Kungälvs kommun",140+5 m²,5,380,7450000
Såld 11 juni 2022,Situlagatan 4,"Ytterby - Stället,          Kungälvs kommun",138+27 m²,5,636,6620000
Såld 9 juni 2022,Duvesjön 373,"Duvesjön,          Kungälvs kommun",149+9 m²,5,604,4900000
Såld 9 juni 2022,Odlingsgatan 78,"Ytterby,          Kungälvs kommun",130+5 m²,5,295,5600000
Såld 8 juni 2022,Östra gatan 29,"Kungälv,          Kungälvs kommun",192+128 m²,8,384,8300000
Såld 6 juni 2022,Duvesjön 369,"Kungälv -Duvesjön,          Kungälvs kommun",4 m²,4,198,5050000
Såld 4 juni 2022,Tjuvkils huvud 918,"Tjuvkil,          Kungälvs kommun",60+4 m²,4,376,5150000
Såld 3 juni 2022,Bergåsvägen 10B,"Ytterby,          Kungälvs kommun",115+78 m²,6,834,5700000
Såld 31 maj 2022,Lagvägen 29,"Ytterby,          Kungälvs kommun",101+4 m²,4,713,4700000
Såld 31 maj 2022,Lerskärsvägen 49,"Tjuvkil,          Kungälvs kommun",189+6 m²,6,133,7100000
Såld 29 maj 2022,Sagagatan 6,"Centralt vid älven,          Kungälvs kommun",280+45 m²,6,768,8500000
Såld 27 maj 2022,Glose 120,"Glose,          Kungälvs kommun",64+64 m²,4,418,3500000
Såld 26 maj 2022,Toreby 240,"Kärna,          Kungälvs kommun",89+89 m²,4,245,3895000
Såld 26 maj 2022,Tronnum 370,"Kärna,          Kungälvs kommun",165+36 m²,5,407,6360000
Såld 23 maj 2022,Ängsgatan 9,"Centrum,          Kungälvs kommun",165+16 m²,6,575,5700000
Såld 22 maj 2022,Storskiftegatan 35,"Övre Tega,          Kungälvs kommun",84+11 m²,3,255,4000000
Såld 20 maj 2022,Lerskärsvägen 36,"Tjuvkil,          Kungälvs kommun",75 m²,,156,3800000
Såld 17 maj 2022,Rörstigen 8,"Centralt vid älven,          Kungälvs kommun",129+2 m²,5,407,6200000
Såld 16 maj 2022,Bäckvägen 2,"Kungälv - Lökeberg,          Kungälvs kommun",95+48 m²,3,50,6300000
Såld 16 maj 2022,Hagtornsvägen 1,"Diseröd,          Kungälvs kommun",120+107 m²,7,788,4650000
Såld 16 maj 2022,Ulvesund 403,"Ytterby,          Kungälvs kommun",42 m²,,287,2400000
Såld 16 maj 2022,Glose 360,"Bohuslän,          Kungälvs kommun",75+4 m²,4,280,3250000
Såld 15 maj 2022,Skålgropsgatan 16,"Ytterby,          Kungälvs kommun",120+5 m²,5,249,4800000
Såld 14 maj 2022,Fredrik Bagges gata 9,"Koön, Marstrand,          Kungälvs kommun",135+6 m²,6,979,9500000
Såld 13 maj 2022,Åsebyberg 870,"Åsebyberg,          Kungälvs kommun",117+72 m²,4,667,4900000
Såld 12 maj 2022,Aspvägen 8,"Ytterby,          Kungälvs kommun",130+90 m²,5,602,6210000
Såld 11 maj 2022,Hällristningsgatan 12,"Ytterby,          Kungälvs kommun",107 m²,,560,5275000
Såld 9 maj 2022,Klockarvägen 4,"Romelanda,          Kungälvs kommun",154+6 m²,6,561,5000000
Såld 8 maj 2022,Sjöhåla strandväg 36,"Kovikshamn,          Kungälvs kommun",179+6 m²,6,720,6900000
Såld 6 maj 2022,Duvesjön 304,"Kungälv,          Kungälvs kommun",124+4 m²,4,180,5600000
Såld 3 maj 2022,Holm 280,"Kärna,          Kungälvs kommun",65+3 m²,3,893,3300000
Såld 29 april 2022,Bräcke 220,"Kärna,          Kungälvs kommun",120+6 m²,6,565,5250000
Såld 28 april 2022,Sundhammarsvägen 790,"Kovikshamn/Sundhammar,          Kungälvs kommun",78+3 m²,3,156,3625000
Såld 27 april 2022,Vävra 433,"Hålta,          Kungälvs kommun",198+6 m²,6,729,6275000
Såld 27 april 2022,Grepvägen 393,"Ullstorp,          Kungälvs kommun",148+5 m²,5,477,7000000
Såld 27 april 2022,Torsbyvägen 50,"Ytterby,          Kungälvs kommun",101+49 m²,4,904,5550000
Såld 26 april 2022,Dösebacka 150,"Romelanda,          Kungälvs kommun",95+2 m²,2,600,4950000
Såld 25 april 2022,Åsebyberg 855,"Åsebyberg,          Kungälvs kommun",129+18 m²,5,105,5000000
Såld 25 april 2022,Lingonvägen 16,"Centralt,          Kungälvs kommun",134+5 m²,5,381,5800000
Såld 24 april 2022,Staby 375,"Kärna,          Kungälvs kommun",129+6 m²,6,558,5400000
Såld 24 april 2022,Granvägen 7,"Ytterby,          Kungälvs kommun",100+54 m²,4,623,5300000
